"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,5,428761.615909049,428761.828025655,13291616.6,9.93635047312952,29,31,705088585323.989,594056.656141598,290.034070407742,290.026339109391
200211,0,302391.728618386,302391.728618386,9071751.9,29,30,30,465308463163.191,259067.870538032,290.8978634304,290.8978634304
200212,0,821966.149771968,821966.149771968,25480950.6,30,31,31,44593323118833.8,2489934.77957782,291.761696644645,291.761696644645
200301,0,1033205.62015055,1033205.62015055,32029374.2,30,31,31,80975616061157.2,3355290.93245597,292.642983969032,292.642983969032
200302,0,355493.579568337,355493.579568337,9953820.2,27,28,28,412203714199.767,253521.942031641,293.476483268,293.476483268
200303,0,1872540.48392003,1872540.48392003,58048755,30,31,31,143762215252075,4470698.9992814,294.3106608,294.3106608
200304,0,2217373.23272524,2217373.23272524,66521197,29,30,30,217886547546123,5606067.05660569,295.1737781016,295.1737781016
200305,6,3292396.33431311,3292396.52826221,102064292.3,11.607992457363,29,31,67429421126942.2,5271027.03699884,296.0379856,296.044078279226
200306,0,1859518.62608195,1859518.62608195,55785558.8,29,30,30,107284627581083,3933795.94660647,296.8990003792,296.8990003792
200307,0,2438343.38239747,2438343.38239747,75588644.9,30,31,31,165000118918951,4789555.18340968,297.764707526194,297.764707526194
200308,0,1566364.78830871,1566364.78830871,48557308.4,30,31,31,41450739704789.7,2400596.64797153,298.642679044645,298.642679044645
200309,0,1918649.77055809,1918649.77055809,57559493.1,29,30,30,84947894755695.8,3500413.81885527,299.5063263728,299.5063263728
