"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,157,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,154,178,365,NA,NA,NA,NA,NA,NA,NA,NA
1,64,151,180,365,NA,NA,NA,NA,NA,NA,NA
1,59,153,171,324,365,NA,NA,NA,NA,NA,NA
1,33,65,156,178,264,365,NA,NA,NA,NA,NA
1,62,118,155,180,245,278,365,NA,NA,NA,NA
1,31,64,118,155,179,212,314,365,NA,NA,NA
1,38,65,80,117,155,179,221,314,365,NA,NA
1,65,86,115,156,182,222,266,299,331,365,NA
1,32,68,102,154,178,205,220,266,285,333,365
1,30,58,74,120,153,176,202,229,271,291,327
1,22,27,32,44,54,65,128,160,227,268,293
1,10,23,41,53,68,79,128,177,193,221,249
